date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Feb%202021%2010:48:55%20GMT	http://localhost/robots.txt		(from )
11:48:56	70393/70393	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2016%20Feb%202021%2010:48:55%20GMT	http://localhost/wordpress/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/index.html	(from )
11:48:56	17882/17882	---M-Z	200	added ('OK')	text/css	etag:%2245da-5bb71d7f4507c-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-72.css?ver=1613472512	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/uploads/elementor/css/post-72f59a.css	(from http://localhost/wordpress/)
11:48:56	2125/2125	---M--	200	added ('OK')	image/png	etag:%2284d-5bb71cebc3384%22	http://localhost/wordpress/wp-content/uploads/2021/02/gpl.png	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/uploads/2021/02/gpl.png	(from http://localhost/wordpress/)
11:48:56	12994/12994	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2295da17f8351cffdde29dedc07e3e5533-gzip%22	http://localhost/wordpress/feed/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
11:48:57	1642/1642	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%220d2c95f455c9cf15c997c61621975ca5-gzip%22	http://localhost/wordpress/comments/feed/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
11:48:57	51433/51433	U--M-Z	200	updated ('OK')	text/css	etag:%22c8e9-5b5662b38fd00-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-includes/css/dist/block-library/style.mind96d.css	(from http://localhost/wordpress/)
11:48:57	2297/2297	U--M-Z	200	updated ('OK')	text/css	etag:%228f9-5b18d23a3dd80-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/theme.min.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-includes/css/dist/block-library/theme.mind96d.css	(from http://localhost/wordpress/)
11:48:57	1920/1920	U--M-Z	200	updated ('OK')	text/css	etag:%22780-5b3d9005e2bc0-gzip%22	http://localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/stylesde54.css	(from http://localhost/wordpress/)
11:48:58	128983/128983	U--M-Z	200	updated ('OK')	text/css	etag:%221f7d7-5b6818b8f1600-gzip%22	http://localhost/wordpress/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.8	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/google-language-translator/css/styled42d.css	(from http://localhost/wordpress/)
11:48:58	5732/5732	U--M-Z	200	updated ('OK')	text/css	etag:%221664-5b6818b8f1600-gzip%22	http://localhost/wordpress/wp-content/plugins/google-language-translator/css/toolbar.css?ver=6.0.8	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/google-language-translator/css/toolbard42d.css	(from http://localhost/wordpress/)
11:48:58	68/68	U-----	200	untouched ('OK')	text/css	etag:%2244-5b9549c2adf00%22	http://localhost/wordpress/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/svg-support/css/svgs-attachmentd96d.css	(from http://localhost/wordpress/)
11:48:58	1729/1729	U--M-Z	200	updated ('OK')	text/css	etag:%226c1-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/slick.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/slickdade.css	(from http://localhost/wordpress/)
11:48:59	29062/29062	U--M-Z	200	updated ('OK')	text/css	etag:%227186-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/font-awesome.min.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/font-awesome.mindade.css	(from http://localhost/wordpress/)
11:48:59	3416/3416	U--M-Z	200	updated ('OK')	text/css	etag:%22d58-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/style.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/styledade.css	(from http://localhost/wordpress/)
11:48:59	12641/12641	U--M-Z	200	updated ('OK')	text/css	etag:%223161-5b462c32f3980-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/public/css/public.min.css?ver=2.0.7	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/public/css/public.min5d0a.css	(from http://localhost/wordpress/)
11:49:00	0/0	U-----	200	untouched ('OK')	text/css	etag:%220-5b8e32c4ec500%22	http://localhost/wordpress/wp-content/uploads/useanyfont/uaf.css?ver=1610660724	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/uploads/useanyfont/uafa69f.css	(from http://localhost/wordpress/)
11:49:00	10909/10909	U--M-Z	200	updated ('OK')	text/css	etag:%222a9d-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/wordpress/)
11:49:00	56842/56842	U--M-Z	200	updated ('OK')	text/css	etag:%22de0a-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.11.2	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5.css	(from http://localhost/wordpress/)
11:49:00	5235/5235	U--M-Z	200	updated ('OK')	text/css	etag:%221473-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from http://localhost/wordpress/)
11:49:00	156586/156586	U--M-Z	200	updated ('OK')	text/css	etag:%22263aa-5b3d8da84d700-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.9.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min8162.css	(from http://localhost/wordpress/)
11:49:01	18468/18468	U--M-Z	200	updated ('OK')	text/css	etag:%224824-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.minb12b.css	(from http://localhost/wordpress/)
11:49:01	17076/17076	U--M-Z	200	updated ('OK')	text/css	etag:%2242b4-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minee95.css	(from http://localhost/wordpress/)
11:49:01	3854/3854	U--M-Z	200	updated ('OK')	text/css	etag:%22f0e-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend-legacy.minb12b.css	(from http://localhost/wordpress/)
11:49:01	115059/115059	U--M-Z	200	updated ('OK')	text/css	etag:%221c173-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.minb12b.css	(from http://localhost/wordpress/)
11:49:01	1079/1079	U--M-Z	200	updated ('OK')	text/css	etag:%22437-5bb66394fb835-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-74.css?ver=1613422606	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/tly.github.io/pain2d/localhost/wordpress/wp-content/uploads/elementor/css/post-7452df.css	(from http://localhost/wordpress/)
